[rosmaster.master][INFO] 2026-07-21 17:03:16,183: +PARAM [/move_base/TebLocalPlannerROS/weight_optimaltime] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,183: +PARAM [/move_base/TebLocalPlannerROS/weight_obstacle] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/weight_inflation] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/weight_viapoint] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/weight_adapt_factor] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/enable_homotopy_class_planning] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/enable_multithreading] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/max_number_classes] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/dynamic_obstacle_inflation_dist] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/weight_dynamic_obstacle] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/weight_dynamic_obstacle_inflation] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/weight_velocity_obstacle_ratio] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/global_plan_viapoint_sep] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/include_dynamic_obstacles] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/selection_cost_hysteresis] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/move_base/TebLocalPlannerROS/switching_blocking_period] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/nav_world_model/config] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/nav_world_model/allow_unfrozen_simulation_candidate] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/tracks_to_teb_obstacles/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/tracks_to_teb_obstacles/minimum_confidence] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/tracks_to_teb_obstacles/input_tracks] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/tracks_to_teb_obstacles/input_health] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/tracks_to_teb_obstacles/input_odometry] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/tracks_to_teb_obstacles/output_obstacles] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/r6_rule_context_supervisor/config] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:40723/
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/r6_rule_context_supervisor/config_sha256] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/r6_rule_context_supervisor/attempt_profile_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,184: +PARAM [/r6_rule_context_supervisor/allow_unfrozen_simulation_candidate] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,186: +SUB [/clock] /rosout http://127.0.0.1:40723/
[rosmaster.master][INFO] 2026-07-21 17:03:16,186: +PUB [/rosout_agg] /rosout http://127.0.0.1:40723/
[rosmaster.master][INFO] 2026-07-21 17:03:16,186: +SUB [/rosout] /rosout http://127.0.0.1:40723/
[rosmaster.master][INFO] 2026-07-21 17:03:16,213: +PUB [/rosout] /m2_robot_state_publisher http://127.0.0.1:42541/
[rosmaster.master][INFO] 2026-07-21 17:03:16,213: +SERVICE [/m2_robot_state_publisher/get_loggers] /m2_robot_state_publisher http://127.0.0.1:42541/
[rosmaster.master][INFO] 2026-07-21 17:03:16,213: +SERVICE [/m2_robot_state_publisher/set_logger_level] /m2_robot_state_publisher http://127.0.0.1:42541/
[rosmaster.master][INFO] 2026-07-21 17:03:16,215: +SUB [/clock] /m2_robot_state_publisher http://127.0.0.1:42541/
[rosmaster.master][INFO] 2026-07-21 17:03:16,216: +PUB [/tf] /m2_robot_state_publisher http://127.0.0.1:42541/
[rosmaster.master][INFO] 2026-07-21 17:03:16,216: +PUB [/tf_static] /m2_robot_state_publisher http://127.0.0.1:42541/
[rosmaster.master][INFO] 2026-07-21 17:03:16,218: +PUB [/rosout] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,218: +SUB [/joint_states] /m2_robot_state_publisher http://127.0.0.1:42541/
[rosmaster.master][INFO] 2026-07-21 17:03:16,218: +SERVICE [/move_base/get_loggers] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,219: +SERVICE [/move_base/set_logger_level] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,221: +SUB [/clock] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,222: +SUB [/tf] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,224: +SUB [/tf_static] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,267: +PUB [/cmd_vel] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,268: +PUB [/move_base/current_goal] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,268: +PUB [/move_base/goal] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,268: publisherUpdate[/rosout] -> http://127.0.0.1:40723/ ['http://127.0.0.1:42541/']
[rosmaster.master][INFO] 2026-07-21 17:03:16,270: +PUB [/move_base/recovery_status] /move_base http://127.0.0.1:32863/
[rosmaster.master][INFO] 2026-07-21 17:03:16,271: publisherUpdate[/rosout] -> http://127.0.0.1:40723/ ['http://127.0.0.1:42541/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-21 17:03:16,271: publisherUpdate[/rosout] -> http://127.0.0.1:40723/ ['http://127.0.0.1:42541/', 'http://127.0.0.1:32863/']
