[rosmaster.master][INFO] 2026-07-21 17:00:31,601: +PARAM [/move_base/TebLocalPlannerROS/weight_kinematics_forward_drive] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,601: +PARAM [/move_base/TebLocalPlannerROS/weight_kinematics_turning_radius] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_optimaltime] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_obstacle] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_inflation] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_viapoint] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_adapt_factor] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/enable_homotopy_class_planning] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/enable_multithreading] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/max_number_classes] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/dynamic_obstacle_inflation_dist] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_dynamic_obstacle] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_dynamic_obstacle_inflation] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/weight_velocity_obstacle_ratio] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/global_plan_viapoint_sep] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/include_dynamic_obstacles] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/selection_cost_hysteresis] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/move_base/TebLocalPlannerROS/switching_blocking_period] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/nav_world_model/config] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/nav_world_model/allow_unfrozen_simulation_candidate] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/tracks_to_teb_obstacles/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/tracks_to_teb_obstacles/minimum_confidence] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,602: +PARAM [/tracks_to_teb_obstacles/input_tracks] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,603: +PARAM [/tracks_to_teb_obstacles/input_health] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,603: +PARAM [/tracks_to_teb_obstacles/input_odometry] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,603: +PARAM [/tracks_to_teb_obstacles/output_obstacles] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,603: +PARAM [/r6_rule_context_supervisor/config] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:00:31,603: +PARAM [/r6_rule_context_supervisor/config_sha256] by /roslaunch
