epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,779.422,0.97705,0.69736,0.82199,0.84886,0.72328,0.84886,0.63081,1.02756,0.72369,0.84793,0.0005182,0.0005182,0.0005182
148,783.869,0.98093,0.67817,0.83609,0.78455,0.7662,0.83262,0.59413,1.11177,0.80341,0.85698,0.0005149,0.0005149,0.0005149
149,788.443,0.9899,0.68596,0.83107,0.80123,0.78691,0.83324,0.61833,1.07404,0.78355,0.85432,0.0005116,0.0005116,0.0005116
150,793.063,1.01519,0.70672,0.8194,0.76967,0.76111,0.83858,0.60965,1.08135,0.76989,0.85011,0.0005083,0.0005083,0.0005083
151,797.718,0.99065,0.7079,0.83814,0.82474,0.74943,0.85411,0.65512,1.00635,0.73163,0.84904,0.000505,0.000505,0.000505
152,802.321,0.99226,0.68359,0.81498,0.87338,0.79341,0.91338,0.61818,1.13017,0.76654,0.85525,0.0005017,0.0005017,0.0005017
153,807.359,0.97609,0.65931,0.82318,0.76784,0.78678,0.85053,0.59839,1.13814,0.78818,0.85412,0.0004984,0.0004984,0.0004984
154,812.076,0.96413,0.68315,0.82223,0.8818,0.72498,0.85277,0.59479,1.07467,0.77387,0.85163,0.0004951,0.0004951,0.0004951
155,816.684,1.00491,0.6815,0.82384,0.75916,0.7627,0.83159,0.57606,1.14611,0.84484,0.85444,0.0004918,0.0004918,0.0004918
156,821.68,1.04675,0.70668,0.82754,0.87624,0.79864,0.89574,0.61424,1.10094,0.78825,0.8566,0.0004885,0.0004885,0.0004885
157,826.476,1.03808,0.70334,0.82969,0.82221,0.76428,0.84357,0.59318,1.06103,0.76726,0.85155,0.0004852,0.0004852,0.0004852
158,830.817,0.96387,0.69657,0.8257,0.85855,0.73444,0.87039,0.61287,1.04945,0.73293,0.85086,0.0004819,0.0004819,0.0004819
159,835.457,1.03361,0.71976,0.82361,0.76177,0.77192,0.86283,0.62626,1.06684,0.7413,0.84935,0.0004786,0.0004786,0.0004786
160,840.05,1.00514,0.67507,0.82331,0.79271,0.75953,0.84148,0.61607,1.09918,0.81918,0.8573,0.0004753,0.0004753,0.0004753
161,845.035,0.96809,0.67858,0.81926,0.81447,0.7573,0.84742,0.63981,1.04654,0.79567,0.85403,0.000472,0.000472,0.000472
162,849.32,0.96717,0.64234,0.81136,0.84648,0.75363,0.87715,0.60657,1.12353,0.75755,0.86003,0.0004687,0.0004687,0.0004687
163,853.902,0.98997,0.67293,0.82471,0.80986,0.76971,0.83577,0.60565,1.08121,0.78516,0.85876,0.0004654,0.0004654,0.0004654
164,858.335,0.99505,0.68841,0.82442,0.78245,0.74801,0.84133,0.5876,1.11865,0.7814,0.86437,0.0004621,0.0004621,0.0004621
165,862.862,0.96598,0.62632,0.82559,0.69579,0.71351,0.80407,0.56358,1.1261,0.8162,0.86825,0.0004588,0.0004588,0.0004588
166,867.206,0.95834,0.64085,0.82521,0.77219,0.79787,0.84664,0.57279,1.07236,0.75904,0.85641,0.0004555,0.0004555,0.0004555
167,871.618,0.96211,0.65809,0.81603,0.71895,0.77197,0.80342,0.55125,1.10353,0.80487,0.84948,0.0004522,0.0004522,0.0004522
168,876.312,0.98009,0.66735,0.8213,0.75276,0.78495,0.85716,0.60001,1.11684,0.76607,0.84529,0.0004489,0.0004489,0.0004489
169,881.211,0.99154,0.66968,0.83149,0.71769,0.79136,0.86764,0.60223,1.08179,0.77927,0.85663,0.0004456,0.0004456,0.0004456
170,885.728,0.95923,0.66343,0.8124,0.81498,0.76736,0.86827,0.62058,1.10065,0.72724,0.85048,0.0004423,0.0004423,0.0004423
171,890.612,0.95621,0.66623,0.82887,0.80681,0.77162,0.86506,0.61632,1.05402,0.75121,0.84954,0.000439,0.000439,0.000439
172,895.343,0.95008,0.65024,0.81454,0.67304,0.84598,0.84775,0.58749,1.08018,0.76232,0.8515,0.0004357,0.0004357,0.0004357
173,899.883,0.96664,0.66088,0.81811,0.78994,0.74588,0.83913,0.60181,1.06856,0.77913,0.85455,0.0004324,0.0004324,0.0004324
174,904.673,0.9975,0.67417,0.82023,0.7894,0.72404,0.84299,0.60124,1.04162,0.74663,0.84726,0.0004291,0.0004291,0.0004291
175,909.453,0.9776,0.65118,0.81854,0.89333,0.70114,0.83595,0.59301,1.10332,0.76043,0.8547,0.0004258,0.0004258,0.0004258
176,914.461,0.95288,0.64919,0.80948,0.80899,0.76994,0.85953,0.57546,1.07196,0.73383,0.85662,0.0004225,0.0004225,0.0004225
